counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
52,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/settings/preferences/MiscPreferencesController.js,1,0,88,5,
53,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/settings/preferences/TilePreferencesController.js,1,0,47,5,
54,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/settings/PreferencesController.js,1,0,35,5,
55,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/settings/resize/DefaultSizeController.js,1,0,47,5,
56,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/settings/resize/ResizeController.js,1,0,104,5,
57,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/settings/SaveController.js,1,0,184,5,
58,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/settings/SettingsController.js,1,0,123,5,
59,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/ToolController.js,1,0,131,5,
60,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/TransformationsController.js,1,0,72,5,
61,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/UserWarningController.js,1,0,59,5,
62,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/database/BackupDatabase.js,1,0,258,5,
63,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/database/migrate/MigrateLocalStorageToIndexedDb.js,1,0,76,5,
64,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/database/PiskelDatabase.js,1,0,139,5,
65,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/DrawingTestPlayer.js,1,0,221,5,
66,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/DrawingTestRecorder.js,1,0,178,5,
67,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/DrawingTestRunner.js,1,0,24,5,
68,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/DrawingTestSuiteController.js,1,0,85,5,
69,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/DrawingTestSuiteRunner.js,1,0,68,5,
70,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/init.js,1,0,34,5,
71,-,UNNAMED,1,1,false,./src/init/resources/piskel-master/src/js/devtools/lib/Blob.js,1,0,195,107,
72,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/MouseEvent.js,1,0,25,5,
73,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/devtools/TestRecordController.js,1,0,76,5,
74,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/lib/gif/gif.worker.js,1,0,24,5,
75,-,UNNAMED,1,1,false,./src/init/resources/piskel-master/src/js/lib/gif/libgif.js,1,0,45,13,
76,-,UNNAMED,1,1,false,./src/init/resources/piskel-master/src/js/lib/gif/libgif.js,88,0,667,13,
77,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/lib/iframeLoader-0.1.0.js,1,0,52,5,
78,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,14,0,9227,13,
79,doScrollCheck,NAMED,0,0,false,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,878,16,892,21,
80,add,NAMED,1,1,false,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,998,20,1007,36,
81,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,3677,0,5139,13,
82,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,4991,4,5125,9,
83,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,6266,0,6326,5,
84,-,UNNAMED,1,1,false,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,8152,0,8157,32,
85,-,UNNAMED,0,0,true,./src/init/resources/piskel-master/src/js/lib/jquery-1.8.0.js,1239,0,1507,5,
86,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/src/js/lib/jquery-ui-1.10.3.custom.js,6,0,315,13,
87,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/src/js/lib/jquery-ui-1.10.3.custom.js,316,0,826,13,
88,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/src/js/lib/jquery-ui-1.10.3.custom.js,827,0,982,11,
89,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/src/js/lib/jquery-ui-1.10.3.custom.js,983,0,2252,11,
90,-,UNNAMED,1,1,true,./src/init/resources/piskel-master/src/js/lib/jquery-ui-1.10.3.custom.js,232,4,240,26,
91,-,UNNAMED,0,0,true,./src/init/resources/piskel-master/src/js/lib/jquery-ui-1.10.3.custom.js,386,8,408,13,
92,-,UNNAMED,1,1,false,./src/init/resources/piskel-master/src/js/lib/pubsub.js,5,0,23,11,
93,-,UNNAMED,1,1,false,./src/init/resources/piskel-master/src/js/lib/q.js,29,0,1986,3,
94,-,UNNAMED,1,0,true,./src/init/resources/piskel-master/src/js/lib/q.js,87,0,208,5,
95,-,UNNAMED,2,3,false,./src/init/resources/piskel-master/src/js/lib/smoothscroll/smoothscroll.js,7,0,277,21,
96,-,UNNAMED,2,3,false,./src/init/resources/piskel-master/src/js/lib/spectrum/spectrum.js,6,0,1966,19,
97,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/lib/spectrum/spectrum.js,1050,4,1957,9,
98,-,UNNAMED,6,0,true,./src/init/resources/piskel-master/src/js/lib/spectrum/spectrum.js,7,4,102,9,
99,-,UNNAMED,6,0,true,./src/init/resources/piskel-master/src/js/lib/spectrum/spectrum.js,7,4,102,9,
100,-,UNNAMED,6,0,true,./src/init/resources/piskel-master/src/js/lib/spectrum/spectrum.js,7,4,102,9,
101,-,UNNAMED,1,0,true,./src/init/resources/piskel-master/src/js/lib/spectrum/spectrum.js,1871,4,1897,9,
102,-,UNNAMED,1,0,false,./src/init/resources/piskel-master/src/js/lib/spectrum/spectrum.js,1960,4,1964,7,
103,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/frame/AsyncCachedFrameProcessor.js,1,0,49,5,
104,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/frame/CachedFrameProcessor.js,1,0,83,5,
105,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/frame/RenderedFrame.js,1,0,49,5,
106,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/Frame.js,1,0,154,5,
107,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/Layer.js,1,0,122,5,
108,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/Palette.js,1,0,46,5,
109,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/piskel/Descriptor.js,1,0,9,5,
110,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/model/Piskel.js,1,0,140,5,
111,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/AbstractRenderer.js,1,0,22,5,
112,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/CanvasRenderer.js,1,0,45,5,
113,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/CompositeRenderer.js,1,0,68,5,
114,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/DrawingLoop.js,1,0,63,5,
115,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/frame/BackgroundImageFrameRenderer.js,1,0,55,5,
116,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/frame/CachedFrameRenderer.js,1,0,51,5,
117,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/frame/FrameRenderer.js,1,0,374,5,
118,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/FramesheetRenderer.js,1,0,46,5,
119,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/layer/LayersRenderer.js,1,0,96,5,
120,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/OnionSkinRenderer.js,1,0,90,5,
121,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/rendering/PiskelRenderer.js,1,0,39,5,
122,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/selection/BaseSelection.js,1,0,51,5,
123,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/selection/LassoSelection.js,1,0,73,5,
124,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/selection/RectangularSelection.js,1,0,9,5,
125,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/selection/SelectionManager.js,1,0,223,5,
126,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/selection/ShapeSelection.js,1,0,9,5,
