counter,name,file_name,start_row,start_column,end_row,end_column,can_be_refactored,precondition1,precondition2,comments
1,-,./src/init/resources/protobuf.js-master/protobuf.js-master/bench/data/static_pbjs.js,10,0,180,5,TRUE,0,0,iife as function constructor
2,-,./src/init/resources/protobuf.js-master/protobuf.js-master/bench/data/static_pbjs.js,65,4,167,9,TRUE,0,0,iife as function constructor
3,-,./src/init/resources/protobuf.js-master/protobuf.js-master/bench/data/static_pbjs.js,114,8,164,13,TRUE,0,0,iife as function constructor
4,-,./src/init/resources/protobuf.js-master/protobuf.js-master/bench/data/static_pbjs.js,169,4,177,9,TRUE,0,0,iife as function constructor
5,-,./src/init/resources/protobuf.js-master/protobuf.js-master/bench/data/static_pbjs.js,182,0,238,5,TRUE,0,0,iife as function constructor
6,-,./src/init/resources/protobuf.js-master/protobuf.js-master/cli/wrappers/closure.js,1,0,7,13,TRUE,0,0,no need for refactor - simple case
7,-,./src/init/resources/protobuf.js-master/protobuf.js-master/cli/wrappers/default.js,1,0,15,3,TRUE,0,0,no need for refactor - simple case
,,,,,,, ,,,
